x,y_beta,y_omega
0.2814668022009649,0.8977394834597282,0.10204697483103622
0.08103944501200097,0.9917419873348466,0.00811020233951869
0.16125085384575003,0.9662563491217946,0.033770961777848614
0.10681065637961647,0.986356476484185,0.01338965789793245
0.025745873305734246,0.999024939872234,0.000906228045152125
0.7530845750819637,0.3572485815043603,0.6425638524629118
0.4712567018404319,0.7353767580650815,0.26427493257133317
0.7271204202417262,0.33989504133379417,0.6601114600725808
0.5428969380329967,0.6237479543640398,0.3752613984279211
0.6058702526259296,0.548703082852791,0.45086960062431025
0.3755268684349906,0.8162347508698298,0.1836306674362332
0.22751326096974486,0.9229279477862954,0.07681225237966154
0.6445646353484841,0.4310778653859397,0.5687799683655343
0.24927372648630902,0.9157362973805753,0.0840180422670717
0.6070387915232102,0.5500734644869271,0.4497207220788657
0.3598942759562376,0.8459655230989578,0.15396568234486008
0.8888410783784472,0.16713952306254934,0.8327495394102671
0.5865877953708946,0.5713747633613441,0.42832785378539195
0.8661153073747379,0.1971519313469018,0.8026873951829122
0.3860647401913806,0.818507412795815,0.18130401694991627
0.13363367854441574,0.9771486453792704,0.022865827250372218
0.715899633464357,0.40456978310606645,0.5950688491986077
0.1352942079181167,0.970941623694467,0.028893905727945857
0.026669943200255432,0.9987719966397103,0.000907307423109141
0.8705351773821675,0.1714196291317696,0.8286453208247829
0.40506601766162065,0.8014933551580965,0.19827478100948728
0.5099782990768487,0.657873233207787,0.34164120186526414
0.11064154397727692,0.981220521905998,0.018598280279411808
0.12736415855327476,0.9741361367785032,0.024172837079478957
0.1829780630943522,0.9499810430581841,0.04836263684976047
0.5806055406586884,0.6083267600302777,0.39159533829490784
0.41752041433170056,0.7640555609230127,0.23565600100341227
0.08182573198892025,0.9909979135267594,0.008726586191718576
0.6955469046039774,0.4346565387670956,0.5652317833737831
0.6079138320024996,0.5554917248768106,0.44424439443401575
0.6820747540334094,0.42162268377894396,0.5783550630989589
0.053772976609670044,0.9964052086243972,0.003570222428798984
0.2917860205348593,0.9011822052183774,0.09883907983017415
0.48062441807690565,0.7149900668676424,0.2848997910275794
0.6514646585525574,0.49208031813187114,0.5077751677616144
0.1875711894015172,0.953007691675019,0.04678250959096124
0.5289934979919005,0.6681885130034514,0.3317533437199856
0.3723228270776358,0.8286504591607107,0.17097364434563042
0.6458590468202592,0.48908006849988933,0.510810666688755
0.2171711468042722,0.9333646600624506,0.0665838891400945
0.5675540559904945,0.5989281373877503,0.40088697715782196
0.43555196482207054,0.7822807368787388,0.2175115974411384
0.28931379153598297,0.8885945537565072,0.11122413870592666
0.33261655713805843,0.8683059268866766,0.13164155338956487
0.1974018375605373,0.9483231766043001,0.051268326874673614
0.7903577321836414,0.32830702406319834,0.6714850451825815
0.9155362916600767,0.12498593676191595,0.8749410368491322
0.13663207447763326,0.975720279584049,0.023987458057911082
0.6410267718364699,0.5166232522662089,0.48334997893688436
0.6210005124487584,0.5225574564125518,0.4774121643214036
0.8324239108154237,0.24934411161133438,0.7507506840374687
0.0544077754062476,0.9960515674901117,0.003671173123147375
0.5251519677135018,0.6261791613109687,0.37379124843374606
0.5654124992743514,0.6207968797820385,0.379082303402541
0.8582061444049502,0.2061545414373147,0.793824277306709
0.5057388094598441,0.7059996115050667,0.29368227901930816
0.522670912222981,0.6802089125957048,0.3194806911535146
0.045836492138870304,0.9965793769430498,0.0031579180285981347
0.34883939805277286,0.8537527438761753,0.14596956500836153
0.32034965544944444,0.8645356860502006,0.13502343164289912
0.3052273616511056,0.8782312029671111,0.12160827587250113
